RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency
150162990252303,Lozano Elem Bilingual & Intl Ctr,Chicago,15.2,*,*
150162990252323,Lyon Elem School,Chicago,48.0,26.4,25.5
150162990252838,Madero Middle School,Chicago,33.0,12.1,38.4
150162990252324,Madison Elem School,Chicago,34.4,*,24.5
150162990252326,Manierre Elem School,Chicago,14.1,*,*
150162990250616,Manley Career Academy High School,Chicago,*,*,*
150162990252328,Mann Elem School,Chicago,37.8,15.2,18.6
150162990252829,Maria Saucedo STEAM Magnet Academy,Chicago,24.8,13.3,17.2
150162990252912,Marine Leadership Academy - Ames,Chicago,22.8,10.4,25.5
150162990252330,Marquette Elem School,Chicago,41.8,23.3,19.8
150162990252331,Marsh Elem School,Chicago,37.1,22.6,23.4
150162990250029,Marshall Metropolitan High School,Chicago,*,*,*
150162990252334,Mason Elem School,Chicago,18.9,*,*
150162990250030,Mather High School,Chicago,32.8,19.8,28.6
150162990252337,Mayer Elem School,Chicago,83.9,67.6,73.3
150162990252802,Mays Elem Academy,Chicago,15.7,7.4,*
150162990252877,McAuliffe Elem School,Chicago,21.7,14.6,20.0
150162990252341,McCormick Elem School,Chicago,26.1,11.9,21.3
150162990252344,McCutcheon Elem School,Chicago,30.3,14.0,19.4
150162990252345,McDade Elem Classical School,Chicago,91.6,87.0,76.5
150162990252737,McDowell Elem School,Chicago,41.4,22.4,*
150162990252346,McKay Elem School,Chicago,21.3,8.8,11.2
150162990252634,McNair Elem School,Chicago,19.1,12.1,*
150162990252349,McPherson Elem School,Chicago,48.6,34.8,33.3
150162990252352,Melody Elem School,Chicago,21.0,*,14.5
150162990252804,Metcalfe Elem Community Academy,Chicago,19.7,11.9,*
150162990252339,Minnie Minoso Academy,Chicago,38.1,13.9,28.4
150162990252452,Mireles Elem Academy,Chicago,18.5,6.0,*
150162990252353,Mitchell Elem School,Chicago,64.8,53.3,53.8
150162990252354,Mollison Elem School,Chicago,14.1,7.0,*
150162990252488,Monarcas Academy,Chicago,47.7,37.5,37.9
15016299025233,Montessori of Englewood Chtr ES,Chicago,12.9,*,*
150162990252356,Moos Elem School,Chicago,33.3,13.7,17.9
150162990250031,Morgan Park High School,Chicago,34.3,9.9,25.5
150162990252357,Morrill Elem Math & Sci School,Chicago,30.1,15.8,19.6
150162990252844,Morton Elem Career Academy,Chicago,32.2,17.9,*
150162990252089,Mosaic School of Fine Arts,Chicago,34.6,20.6,26.1
150162990252361,Mount Greenwood Elem School,Chicago,83.3,61.4,59.8
150162990252362,Mount Vernon Elem School,Chicago,45.5,17.4,*
15016299025244,Moving Everest Charter School,Chicago,24.4,12.6,16.2
150162990252363,Mozart Elem School,Chicago,33.6,11.5,20.9
150162990250836,Multicultural Arts High School,Chicago,19.3,*,*
150162990252365,Murphy Elem School,Chicago,50.9,36.3,42.4
150162990252366,Murray Elem Language Academy,Chicago,52.7,15.5,23.4
15016299025218,Namaste Elem Charter School,Chicago,46.9,26.5,29.6
150162990252368,Nash Elem School,Chicago,17.6,*,*
150162990252924,National Teachers Elem Academy,Chicago,42.1,30.0,32.4
150162990252369,Neil Elem School,Chicago,20.3,*,*
150162990252370,Nettelhorst Elem School,Chicago,68.9,58.8,60.2
